"","y.NPV_mono","y.NPV_AF","y.NPV_decision","x.n_years","x.establishment_cost_mono","x.establishment_cost_AF","x.rubber_main_cost","x.var_rubber_main_cost","x.pepper_main_cost","x.var_pepper_main_cost","x.max_pepper_yield","x.var_pepper_yield","x.max_rubber_yield","x.var_rubber_yield","x.rubber_price","x.pepper_price","x.mono_nutrient","x.var_mono_nutrient","x.mono_nutrient_saved","x.AF_nutrient","x.var_AF_nutrient","x.AF_nutrient_saved","x.cost_water","x.var_cost_water","x.water_competition_probability","x.yield_if_competition","x.var_yield_if_competition","x.var_AF_water","x.mean_AF_water","x.competition_AF_water","x.knowledge_gap_probability","x.var_knowledge_gap_probability"
"1",427961845.248621,655625332.376484,227663487.127862,25,349116.490549382,1227734.4071985,110855.701063425,8.53407192118924,10365.3081598682,10.9110586029509,111.679742220248,17.7138349579179,214.281059864019,11.2537221360593,228213.213162668,97974.7896401427,25.6813891915473,10.2014439387197,36279.3799777943,96.0351812056671,28.7279661943292,57822.8153235251,16578.8246716523,4.18973810758228,0.200279291461187,0.405732200655789,0.125666562834517,30.6559700353168,2112.46286219893,2632.33235410397,0.224624945102574,0.0127849433701693
"2",725133185.197183,668168516.981211,-56964668.2159721,25,356049.040811171,540569.348828607,78295.059870368,13.4324787151549,91535.1231076098,10.5393271524528,148.284578297216,13.870089111725,499.311778393849,10.7465773547433,167043.791194147,134013.460150903,114.475399775627,7.51083214855941,11050.0389852962,184.08269943721,7.56621009574335,3514.32429824676,34972.6803405082,13.0777614897136,0.12945975180527,0.453386431407658,0.171102248708009,16.3460464510243,1649.04309656901,2594.34311204832,0.286194220230362,0.0139698424875684
"3",111419667.192361,85867037.8546805,-25552629.337681,25,204975.642420636,893864.199112965,67406.7419826816,15.2567074247626,112463.850694003,12.5026542160734,166.343037025275,12.398472707222,74.3679500081134,7.46959723379127,143134.067380279,125958.538087279,142.76744452953,10.2474962517422,18953.5977640016,172.903904892425,15.1927756652064,46018.365469618,14084.5361534851,21.36018310217,0.220993918197814,0.380849494979313,0.150570277479224,26.3443245960316,1175.69521201894,2523.14433918794,0.351542090802517,0.015403916995377
"4",151605251.866286,-23074394.312754,-174679646.17904,25,237537.477125887,972297.806533996,11685.7716442392,9.82903569489846,40737.5268006254,7.55232273007921,146.494303874974,16.3787985593495,98.8635960005284,13.4195764381138,178765.385952482,109525.17117729,99.8530481040379,9.41155976318906,3231.0952188283,207.672223702218,28.8573570473883,1094.51381066022,22409.7752705257,18.331954208273,0.200428299164412,0.233581114426325,0.162845851561215,2.56797450108453,2267.89528289998,2072.66981132383,0.300661895011058,0.0132464763095724
"5",226847429.542958,278464963.600437,51617534.057479,25,514844.273966292,817846.924016344,68171.9510182556,13.7300717706076,167104.877887758,11.8622825270741,16.499789769002,10.5350924206209,123.783682685068,12.3468425958604,190976.98345922,115232.389603481,52.9910434075555,11.2981921377277,42908.6732901847,77.9840504426632,23.9028222425516,29711.9550631205,8384.3761809342,18.4391475532324,0.191388157040674,0.305883706960905,0.123148431687741,11.3711308695462,1992.72155726573,2449.97478127819,0.275930376624466,0.0142320722297396
"6",438689047.857833,152404309.972318,-286284737.885515,25,517521.396920611,1055835.00887197,94358.0729495036,14.3875832749959,144331.388356824,12.315894131861,80.1825070148526,18.2856019040225,266.697767746004,15.1968674047433,192336.746004706,136078.544682224,64.8866958118762,6.07866415971594,18986.5645548843,51.8833866542836,17.2723750037604,29287.9187412835,25592.4864407526,18.5252500387198,0.105303943173316,0.480599889450375,0.198213377671713,21.5374066689526,1078.07470605236,3392.00613503356,0.27067075709267,0.0151702412712571
"7",52956112.59569,-180808552.66892,-233764665.26461,25,277184.116614279,278074.737710235,81574.4909621424,3.223646613155,64886.8848435793,15.2375870090729,87.1723471461235,14.5014305525674,41.12742713157,18.6522448852145,135236.97442168,97091.920253425,87.7165319019224,10.8783001410278,37999.8067500625,151.383336207444,20.4667774803528,17667.5672060123,16996.0125685319,9.32539930457385,0.24401472484826,0.524151147235591,0.127483911867012,6.59589853931985,1910.62705659549,2053.63471232652,0.20817691465158,0.0107812658267571
"8",443647371.708232,857726419.270598,414079047.562366,25,508219.7633515,1108330.16086635,59739.1388737501,14.7765943793772,114248.381282026,5.74509452684733,78.5560519813813,18.3036457989725,214.127782271712,16.4668083691467,174706.662431572,142179.560671252,248.023183971752,12.6985284253799,46447.5661247344,218.818853616433,24.3522485707454,4199.25145638827,888.998460749485,14.3682525764175,0.210492896970597,0.456562730323088,0.125899691785927,14.8681748932127,1939.18781747107,1573.76075658211,0.242329780657723,0.0144778603158354
"9",49388391.5774807,-51935222.7299626,-101323614.307443,25,462037.003289173,904235.949673516,50749.6431704841,7.80221150798351,193771.26585082,13.0185398620556,177.742528286619,11.5995383216077,16.2379316957328,18.1330566974204,162518.653017762,131073.201656006,130.6175766077,5.18560264927476,24682.8918093856,84.7709128722015,23.3425369876289,71179.6927179666,11348.5153385351,14.2754933748585,0.157261882973865,0.379343666246284,0.156477534677239,14.8865888334715,1483.63826040036,3489.4631554972,0.302922564799523,0.0103162285066628
"10",94034353.3747271,336241620.330941,242207266.956214,25,245341.868223648,446288.841533935,25260.3780625846,9.70398895282428,65057.8392854303,7.46223427210721,109.72325913277,18.1707500601141,84.0932529930593,18.7096573422061,142159.362837837,143866.380186187,33.1012932723426,5.66559610428715,12879.6550475651,301.933015270304,2.749344517537,94432.7228028574,10951.0164229278,16.9299550278042,0.191132031738152,0.418062999567695,0.160849356848603,27.5821251091907,773.746241188036,2122.47393779405,0.264058372978944,0.0111771069859398
"11",599984638.679769,1033684930.79022,433700292.110449,25,408566.34826524,124323.186157843,98388.0928430016,11.6480503942653,11650.6407649819,11.981980912052,201.871872719953,16.9455151408071,360.351942571691,14.8513119520364,180405.703049394,122592.382931745,185.333370707385,8.94208010220524,46667.8210386665,10.3281344500185,31.5944821474669,5403.82219443144,15894.6379189481,7.67034513359234,0.187316483603378,0.428930744108925,0.114608758990971,24.0391864431856,1869.24238797878,2125.95465430006,0.348487014778044,0.0144331706315492
"12",276294560.771932,426605226.383518,150310665.611586,25,367348.343102355,151022.291249233,5725.26438612284,14.2606220872544,105746.744096708,12.1674434322167,77.6062416914931,17.7260655567134,167.306852410043,13.2067366300652,153705.584756525,107272.261107292,137.67025406921,6.28049732301258,43080.8968702598,129.99086904671,23.6283087107475,245.299048228422,7466.76553661442,12.558975377068,0.028964022659834,0.424315428422914,0.184806019758995,31.4081317532942,818.134452905607,1830.04112203824,0.292533849254728,0.0216026055662994
"13",172928546.662267,-41186502.5302263,-214115049.192493,25,143271.825973659,1337143.16985326,70728.4105755837,10.0752042202444,11409.3794593286,5.76920733870859,20.5781232496491,18.6580181687417,97.9750321641751,15.3956014934189,201392.000340422,110880.958902836,50.1048901857154,10.6367980312804,34063.9475665915,73.0137123458631,20.1129547752624,31611.8886193938,13042.178768713,15.1164112966833,0.255211832545123,0.306161161384263,0.1427649759468,15.2129114634856,2199.71352447688,2970.14894001215,0.341339089906486,0.0190169880115207
