"","y.cashflow1","y.cashflow2","y.cashflow3","y.cashflow4","y.cashflow5","y.cashflow6","y.cashflow7","y.cashflow8","y.cashflow9","y.cashflow10","y.cashflow11","y.cashflow12","y.cashflow13","y.cashflow14","y.cashflow15","y.cashflow16","y.cashflow17","y.cashflow18","y.cashflow19","y.cashflow20","y.cashflow21","y.cashflow22","y.cashflow23","y.cashflow24","y.cashflow25","y.NPV_decision","y.NPV_rubber","y.NPV_AF","x.n_years","x.discount_rate","x.Var_Cv","x.establishment_cost_mono","x.establishment_cost_AF","x.rubber_main_cost","x.pepper_main_cost","x.max_pepper_yield","x.max_rubber_yield","x.rubber_price","x.pepper_price","x.mono_nutrient","x.AF_nutrient","x.fertilizer_price","x.cost_water","x.water_competition_probability","x.yield_if_competition","x.mean_AF_water","x.competition_AF_water","x.knowledge_gap_probability"
"11",17779802.8600418,12990800.6670452,9626308.6091393,17273807.5241735,11672455.0249619,15020427.3641829,19477191.2254869,19312916.417114,16899827.4197486,23360992.6131206,9690569.634601,21142538.7505349,21729889.7479652,12727482.3950135,26347791.7950585,16782773.249728,23514395.8985613,26714455.8882311,18866814.316789,21571001.4715636,18377558.0155627,18557276.8475703,21335546.484163,27505486.563694,23552874.6860162,-37110264.4284373,206987999.038692,169877734.610254,25,10,10.626714609505,91440.0465837628,123708.661379155,528939.575702327,85766.0662135285,28.0893820392933,43.2272577198126,591087.709618314,769789.730060072,6.34183333879843,3.65740994902022,11356.2879179193,7326.01973021471,0.225391624573047,0.341488199797103,1585.99247689106,3137.27201560901,0.292973103014769
"12",22226156.4370653,32644165.5961535,27918650.6007965,26336431.8776774,29297630.8402672,29357757.8988275,29024051.6114225,29754157.9400552,32915744.8035847,34327116.5744084,32101149.0582012,37448433.8128926,35687961.0759329,34807124.7642679,33202481.7510971,36663766.0964796,32598435.3930892,39731540.2355528,34977139.3174453,37538737.9549075,35294827.7112766,37863094.2651192,41254953.3470398,37008921.5445209,40516461.406988,120591868.233545,189512946.8631,310104815.096644,25,10,11.0561779639127,98145.7046459818,111531.379471913,505846.445232388,78813.6156586727,31.2912427733632,41.9428347798816,570414.238674284,766669.23250644,1.51354302445425,7.29829186227254,11005.7878189661,6056.8878344479,0.237429252749846,0.356476577146,1778.07638741082,1433.80192345055,0.327646658514462
"13",-2184996.24616094,3731305.28442235,1534490.74135814,4134305.97681477,4777615.44603652,6749080.02753966,10361580.1957946,9254099.04989725,4706092.43292962,6365726.292179,9083612.21039051,5296141.07097691,5528733.11125103,9026053.53587591,7694554.42028345,9547059.91167239,8106116.60734083,7491860.79665674,10609305.2701514,6008831.66670432,6917879.29496801,10529263.9081538,7531632.76257218,10455239.1728918,11831079.8615522,-43965738.7311574,98422178.7133278,54456439.9821704,25,10,7.64597155470637,83885.1735044317,96375.6569531411,557350.269363188,82959.9166864349,30.7919569751986,40.3144153193565,601395.11481947,751460.999349633,5.50113585639739,7.19689158132175,11847.4084523293,7324.00530616731,0.173018508142322,0.47365429733868,1966.65189674567,2500.69891065842,0.322220948974909
"14",10947147.5397021,15854984.6722134,12623172.6310467,12990502.598833,14659338.3666168,12033676.0613654,15991494.7544356,13856378.062816,17995866.5765673,20490794.5346498,18049141.4413246,15259463.2914642,20374407.7366585,18764855.9771523,23663899.856102,17039328.2961054,21262848.9602118,21215426.9956695,18148744.4988314,20566351.5567969,22748945.0597778,22935921.8366944,15318189.3868469,17300471.4481303,18983310.6175039,6292889.76444331,152186055.143813,158478944.908256,25,10,9.36768763698281,97349.401681931,136645.155158106,480889.131522518,93023.9525524446,32.7712486927715,44.457819578028,665705.421697911,780111.659134396,3.0717539137966,10.2442224812979,11768.6586848168,5182.54246202108,0.244058005177083,0.38361811350435,2445.85343702202,2809.79406687,0.322102554998967
"15",23940564.4969481,21971995.9049647,21754303.9921491,24392844.0569125,27252572.7670812,25076081.1533985,25448848.4664115,21332938.314668,23224997.7900778,25997510.9218953,28579145.3191488,27228873.3275523,27278363.327896,24660409.7855395,30153309.8577723,33849425.5164902,30543578.2827411,28057181.1948319,32935167.0222251,32933041.6427687,32808223.9271544,34891118.3903093,36535685.1815545,31225964.3007495,32968724.220598,70991746.4263947,187446997.008919,258438743.435314,25,10,8.2333843422374,76191.1195199611,111441.093767846,486956.23501506,75881.2776092175,28.2208536727403,40.1512993386265,575828.092276423,851085.76665063,5.36679623948013,5.72535943687426,11679.8069989017,10681.9405579932,0.183279942312661,0.423165605701724,1859.92260131326,1244.41136709472,0.266569676882112
"16",30007762.4298677,33398453.3311776,34476306.5514589,33901829.3956302,28636287.4632885,33842969.2553499,42802423.8917474,38690573.7448079,39225642.4216117,37865249.0888787,39665626.4349789,41104929.5132778,38908679.2183068,39712773.4460098,38867303.3829004,38957028.9480721,43794452.5721962,34942369.6354149,37832465.8683025,42941315.8381676,42754284.414492,43436757.6345802,47483920.8975812,45533084.3351199,45702825.7494742,175085185.418833,189408822.080703,364494007.499535,25,10,7.52299737007944,85427.1590083394,98831.0986229903,502416.555058232,75818.9628875214,34.3590834372473,41.9087018613617,540766.052946583,798032.74900821,3.59103666212147,5.57926188390916,11484.777886214,2294.42799813535,0.267703037959182,0.422884326268744,1159.57130587902,2512.62329962204,0.317471224718561
"17",7833008.94452091,10222529.7585951,13999671.0179351,19058683.2360096,18656599.7031256,19921325.2673595,14506102.6694391,19830355.8691127,23710471.3750667,22731953.0550451,17892644.1598956,18284618.7810652,21918242.08179,25866465.0538797,22318465.7562898,23770410.6870975,21842578.7946625,18605785.9577482,24962850.5220611,22517384.3776704,22004847.1958747,22895018.3672249,23497998.9704629,29326793.1020022,29481818.7224175,27096905.7572797,151573649.949966,178670555.707245,25,10,7.32722142192167,91162.1822171175,110655.15807258,509011.572002272,81527.5499743851,26.8690739904592,38.2596144033018,518288.338201343,813699.125075975,2.47738462286978,4.83604360865571,11299.3682667583,6430.73643529318,0.198960800290133,0.386627324610073,2318.40873848949,2246.73216720907,0.386980939855211
"18",21943851.5476668,21262898.4470088,21056813.6870381,21395531.2420377,22148004.3194531,25094898.7711053,23433561.0993435,24673885.6868262,24575055.8416497,24658380.2133721,23843884.6736345,24030975.7166219,24933805.131114,26287203.5627744,25717779.8999371,25258863.3293377,25480632.0596488,25257826.6723848,25110957.1556241,26754626.7319833,24364413.4823671,25298128.4634225,26498337.8048477,27578707.3988865,26945164.9138718,101010671.669847,133798969.484092,234809641.153939,25,10,3.71489842423474,97578.8825575551,111401.529681144,520274.892834327,89017.5082852326,29.7150446201756,37.3807138678026,406078.846266066,725256.475658577,4.25665093931466,6.25780820695851,11148.1584305109,4332.09956660911,0.158162840332898,0.430063659966897,892.208829892748,2142.25093883946,0.161228613286366
"19",17694660.2113237,19039266.0474112,17563115.7074156,23590360.0227066,19249873.1581609,20560396.6554514,20111586.3099532,24966337.6794505,25193735.1848075,24905370.4046229,28334269.6045503,25518049.4305393,28246610.1754254,27607814.4145858,26177900.0317032,28078439.1582869,28111482.347617,25976929.6631579,28237927.1893023,26551540.5191142,27844236.5009908,32617323.8515954,33203837.3703468,28029205.2666628,30434000.6577978,61086347.1692174,168552793.131743,229639140.30096,25,10,6.41824343894911,89478.0401104131,160642.370089653,531545.238118174,97028.190027062,31.6918435045054,42.2259118653523,485988.36581671,843477.23656161,2.05323553926068,7.07083401025849,11488.0524042786,7906.85540779771,0.228979853275482,0.372033146752017,2233.33751262343,1980.68986526835,0.292417007174994
"20",12299348.4805917,12636587.0055896,11738676.9196688,11763565.0986884,14411608.4003047,14320780.3096829,14438259.4199684,16440153.663257,13423244.9952999,12615108.5550257,17647846.3729062,16527359.4609849,16975647.6328129,17736152.1492653,15611207.5795761,12621157.2008408,16237690.3863678,19953298.4407091,15996190.0320693,13040646.5103992,19761308.6620419,17686319.211397,23881109.4678162,18836230.0805811,18553235.0595934,37276261.4144397,106998917.339019,144275178.753459,25,10,10.4335103759476,88177.5265986376,133115.068149728,539878.922656999,90900.0057978192,28.2778781559943,41.5380273040205,609812.944568306,824472.565251818,4.68498525913808,9.28034080509314,11100.4471335662,5081.97304287302,0.334475349897446,0.474924733191843,1332.53967150024,1632.71569499129,0.275997207973861
